college,branch,year,category,cutoff,location
Anna University,CSE,2019,OC,199.2,Chennai
Anna University,CSE,2020,OC,199.3,Chennai
Anna University,CSE,2021,OC,199.4,Chennai
Anna University,CSE,2022,OC,199.5,Chennai
Anna University,CSE,2023,OC,199.5,Chennai

Anna University,IT,2019,BC,198.0,Chennai
Anna University,IT,2020,BC,198.1,Chennai
Anna University,IT,2021,BC,198.2,Chennai
Anna University,IT,2022,BC,198.3,Chennai
Anna University,IT,2023,BC,198.4,Chennai

Anna University,AI & DS,2019,OC,197.6,Chennai
Anna University,AI & DS,2020,OC,197.9,Chennai
Anna University,AI & DS,2021,OC,198.2,Chennai
Anna University,AI & DS,2022,OC,198.6,Chennai
Anna University,AI & DS,2023,OC,198.8,Chennai

Anna University,AI & ML,2019,OC,197.8,Chennai
Anna University,AI & ML,2020,OC,198.1,Chennai
Anna University,AI & ML,2021,OC,198.4,Chennai
Anna University,AI & ML,2022,OC,198.7,Chennai
Anna University,AI & ML,2023,OC,199.0,Chennai

PSG College of Technology,CSE,2019,BC,197.8,Coimbatore
PSG College of Technology,CSE,2020,BC,198.0,Coimbatore
PSG College of Technology,CSE,2021,BC,198.2,Coimbatore
PSG College of Technology,CSE,2022,BC,198.4,Coimbatore
PSG College of Technology,CSE,2023,BC,198.6,Coimbatore

PSG College of Technology,IT,2019,BC,196.9,Coimbatore
PSG College of Technology,IT,2020,BC,197.1,Coimbatore
PSG College of Technology,IT,2021,BC,197.3,Coimbatore
PSG College of Technology,IT,2022,BC,197.6,Coimbatore
PSG College of Technology,IT,2023,BC,197.9,Coimbatore

SSN College of Engineering,ECE,2019,OC,195.4,Kanchipuram
SSN College of Engineering,ECE,2020,OC,195.8,Kanchipuram
SSN College of Engineering,ECE,2021,OC,196.2,Kanchipuram
SSN College of Engineering,ECE,2022,OC,196.6,Kanchipuram
SSN College of Engineering,ECE,2023,OC,197.0,Kanchipuram

SSN College of Engineering,EEE,2019,BC,194.2,Kanchipuram
SSN College of Engineering,EEE,2020,BC,194.5,Kanchipuram
